h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.0012648621300278269;0.00012056335800626498;0.00984613601785876;0.0012792985766191798
2;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
3;0.0;0.016433235874961292;0.010874744630091665;0.01596990382555325
4;0.0;0.016433235874961292;0.010874744630091665;0.015542209326237929
5;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
6;0.0;0.016433235874961292;0.010874744630091665;0.015935662228547542
7;0.0020330368487928843;6.093802368611607e-06;0.009693400601807385;0.0002354820814367393
8;0.0;0.016433235874961292;0.010874744630091665;0.015554812085675876
9;0.0;0.016433235874961292;0.010874744630091665;0.015935662228547542
10;0.001009845998485231;0.0003247623871055298;0.008063624591137209;0.0019429322790620088
11;0.0;0.016433235874961292;0.010874744630091665;0.015935662228547545
12;0.0020294266869609334;6.179888854803005e-06;0.007753125931828501;0.00023298425226074625
13;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
14;0.0020242914979757085;6.304439923647982e-06;0.006800707015123205;0.0002253085653883307
15;0.0017570281124497991;1.7810030090712153e-05;0.009121005194881446;0.00045219114593740166
16;0.0;0.016433235874961292;0.010874744630091665;0.015886902849715095
17;0.0;0.016433235874961292;0.010874744630091665;0.015840146182309892
18;0.0;0.016433235874961292;0.010874744630091665;0.015553879841958673
19;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
20;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
21;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
22;0.0010116337885685382;0.00032251413570695656;0.008064130025010219;0.0019429322790620088
23;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
24;0.003788835564536499;6.63597265746966e-09;0.00932440094074795;7.447030015288232e-06
25;0.0;0.016433235874961292;0.010874744630091665;0.015935662228547545
26;0.0010238034297414896;0.00030761816406637665;0.01033226869463652;0.001957304553816112
27;0.0005054334091483447;0.0023055952507888247;0.00923801980854885;0.0055655286920761535
28;0.004051658647758926;2.3898995152406725e-09;0.006177126572122472;3.8183561646969425e-06
29;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
30;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
31;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
32;0.0;0.016433235874961292;0.010874744630091665;0.015935662228547542
33;0.0007655014034192396;0.0008392811130554312;0.01023428413721146;0.0030713780830991214
34;0.001520912547528517;4.457789384395736e-05;0.007174741482677747;0.0006486560968756528
35;0.0012712941774726673;0.00011758745385533318;0.008896859321974863;0.0011658853664109163
36;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
37;0.0;0.016433235874961292;0.010874744630091665;0.01577908926379513
38;0.0;0.016433235874961292;0.010874744630091665;0.01588407963901311
39;0.0;0.016433235874961292;0.010874744630091665;0.015840146182309892
40;0.0;0.016433235874961292;0.010874744630091665;0.015784903814088487
41;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
42;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
43;0.004302708175145533;9.009964137769269e-10;0.0072343128014957;2.4010745264821336e-06
44;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
45;0.0;0.016433235874961292;0.010874744630091665;0.015784903814088487
46;0.0017627801561319568;1.7416377878260367e-05;0.009213669058110269;0.00041878028954001094
47;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
48;0.001771703366236396;1.6822849070845204e-05;0.009411955395674208;0.00044554785212987347
49;0.0;0.016433235874961292;0.010874744630091665;0.015845983231907067
50;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
51;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
52;0.004057823991884352;2.3333257028195395e-09;0.008094660849047777;3.90578065296127e-06
53;0.001524390243902439;4.3979550631344625e-05;0.009907645421849907;0.0007439054621796339
54;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
55;0.0010129146619397315;0.0003209129383253022;0.009918979382013275;0.002014781414638824
56;0.0015298317185109638;4.305940967536641e-05;0.007158159126827366;0.0006438597343336901
57;0.0007604562737642585;0.000855896631811772;0.008396315270795452;0.0031657067989946056
58;0.002537427048972342;8.584377428840045e-07;0.009284790712309886;9.665291390332915e-05
59;0.0;0.016433235874961292;0.010874744630091665;0.015935662228547545
60;0.0010165184243964421;0.000316450456941987;0.01060947694730353;0.0020301787774822744
61;0.0020335536349771225;6.081577800654369e-06;0.0077166692906499666;0.00023328088073940333
62;0.00202020202020202;6.4054209428636946e-06;0.006813528280717564;0.00023263207178081036
63;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
64;0.0;0.016433235874961292;0.010874744630091665;0.015895788273821668
65;0.0015166835187057635;4.531648421939402e-05;0.008906286046962274;0.0006678624785974641
66;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
67;0.001252191334835963;0.00012664785323775586;0.009557328293117543;0.0012082895561075224
68;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
69;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
70;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
71;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
72;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
73;0.0017681232634503663;1.7058511075685056e-05;0.008147025940219037;0.0004306985051210572
74;0.0;0.016433235874961292;0.010874744630091665;0.015935662228547545
75;0.0025438819638768763;8.371742564164135e-07;0.009314185617609314;9.412056003321411e-05
76;0.0033003300330033004;4.428718806504577e-08;0.006431178559283681;1.75598615837939e-05
77;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
78;0.0;0.016433235874961292;0.010874744630091665;0.015784903814088487
79;0.00025233409033560434;0.006164512768244084;0.010807049688636772;0.009487677164244264
80;0.0012748597654258032;0.00011596953286338729;0.008969572574318904;0.0011170707208796318
81;0.007367886178861789;6.054899869869641e-15;0.0060833499976286004;1.5397953331542468e-08
82;0.0010209290454313426;0.0003110732163527104;0.009404236889373987;0.0019508794977828843
83;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
84;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
85;0.0;0.016433235874961292;0.010874744630091665;0.015509032793001885
86;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
87;0.0;0.016433235874961292;0.010874744630091665;0.015901645827374047
88;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
89;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
90;0.0020294266869609334;6.179888854803005e-06;0.009491238805784891;0.00023971885583533555
91;0.0022635814889336017;2.487909860787926e-06;0.008584931572151112;0.00015816636246903984
92;0.0;0.016433235874961292;0.010874744630091665;0.01596990382555325
93;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
94;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
95;0.001015744032503809;0.00031740410984075723;0.008055166956035002;0.0018949611101689756
96;0.0;0.016433235874961292;0.010874744630091665;0.01581183424641962
97;0.0;0.016433235874961292;0.010874744630091665;0.0159485840283596
98;0.0007618080243778568;0.0008514128129513099;0.009456293051036532;0.003276144795568861
99;0.0;0.016433235874961292;0.010874744630091665;0.01574788294449215
100;0.003045685279187817;1.1912468910025682e-07;0.00982748532998105;3.616827821194197e-05
