h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.17801047120418848;1.0344194839853965e-06;0.002414791166900598;-1.0
2;0.17745415318230853;1.306979260341089e-06;0.0016256691744684529;-1.0
3;0.16076150185087257;0.001458803367571077;0.018119659577622165;-1.0
4;0.1562829989440338;0.009586883867528935;0.013888338939382742;-1.0
5;0.17049706039551044;2.4349381682855315e-05;0.0063821816860646224;-1.0
6;0.16588419405320814;0.00016931701063718665;0.012023623091393784;-1.0
7;0.15485564304461943;0.017469590292339948;0.01698707600293517;-1.0
8;0.17342226782965622;7.118793681370728e-06;0.004963908101776963;-1.0
9;0.16630785791173305;0.00014169301992219231;0.0020604385919827085;-1.0
10;0.17145899893503727;1.625017841256391e-05;0.004610810453704992;-1.0
11;0.16791044776119404;7.223524647216752e-05;0.003411622239578309;-1.0
12;0.16726897263810014;9.459519214004775e-05;0.001785106474667013;-1.0
13;0.17194805194805196;1.3230227421379516e-05;0.006608262773292993;-1.0
14;0.17221030042918456;1.1849123790979369e-05;0.008041701914322177;-1.0
15;0.1719409282700422;1.3269908973444288e-05;0.002692135070272817;-1.0
16;0.16149732620320856;0.0010706577423070457;0.0143017129798823;-1.0
17;0.16428948758584258;0.00033102481351661266;0.005393543194025253;-1.0
18;0.1594048884165781;0.0025803933851280907;0.020862062622525112;-1.0
19;0.1723952738990333;1.0962609902504932e-05;0.0033464819563314026;-1.0
20;0.17070543887991385;2.230706312197674e-05;0.005352865890704921;-1.0
21;0.1531959852086635;0.035099540813375275;0.03166828578003333;-1.0
22;0.15107161526398327;0.0857367141674427;0.011045786292257201;-1.0
23;0.1639430680021086;0.0003829212787771784;0.0025546781581241643;-1.0
24;0.1688447464715107;4.877146579507028e-05;0.006715079859359858;-1.0
25;0.17062863180137347;2.3039113165699926e-05;0.002314807080822376;-1.0
26;0.17305699481865286;8.30037278410501e-06;0.0048993705847352135;-1.0
27;0.15603217158176944;0.010653033251387034;0.019456071095616805;-1.0
28;0.17035864978902954;2.580826512158799e-05;0.0015433789863294714;-1.0
29;0.162532981530343;0.0006927263672780592;0.006331735025846273;-1.0
30;0.1589825119236884;0.0030817897727992197;0.01240980345269731;-1.0
31;0.1546554445028932;0.01900355162431992;0.039956283050590964;-1.0
32;0.17481402763018067;3.9655210008001754e-06;0.003647231891799637;-1.0
33;0.1526479750778816;0.044193316252125005;0.009760787224503607;-1.0
34;0.1730266596968113;8.406905290112218e-06;0.004207243404788225;-1.0
35;0.16709911779968864;0.00010159702595116236;0.00466090048488772;-1.0
36;0.15145118733509236;0.07309117361592712;0.0325004293953346;-1.0
37;0.16243386243386243;0.0007222021664011938;0.009147818170731674;-1.0
38;0.16850974196945762;5.614752338773454e-05;0.004865285009192783;-1.0
39;0.17976939203354297;4.938040370711608e-07;0.0029236814032618883;-1.0
40;0.16344647519582245;0.00047182063705176607;0.011502271409177731;-1.0
41;0.15641569459172852;0.009066716244065427;0.02462942708414929;-1.0
42;0.17402873869079297;5.516676858390383e-06;0.0032280450669972143;-1.0
43;0.16223265519040167;0.0007859501657352618;0.0018842467519031407;-1.0
44;0.17597471022128555;2.4343552416978256e-06;0.0009986856177121746;-1.0
45;0.15616728427739546;0.01006478582981057;0.016799982551068612;-1.0
46;0.15701617110067814;0.0070439393268568575;0.015498038624768772;-1.0
47;0.1761038961038961;2.305670916813329e-06;0.00407620303480425;-1.0
48;0.16771819137749738;7.831611631106637e-05;0.004873679928960998;-1.0
49;0.16563146997929606;0.00018829669967021374;0.007800284699384549;-1.0
50;0.15226554267650158;0.05190159785710101;0.020963704734565387;-1.0
51;0.1553347280334728;0.01428275044249184;0.010849018559045718;-1.0
52;0.18487394957983194;5.7752325835018335e-08;0.002517422564222155;-1.0
53;0.16631689401888772;0.0001411557756814962;0.005243519196109126;-1.0
54;0.1614420062695925;0.001095849519683324;0.004339443776037065;-1.0
55;0.1695187165775401;3.673778778346231e-05;0.013676534229126172;-1.0
56;0.16154661016949154;0.0010487028377873886;0.0028145353603443663;-1.0
57;0.15620052770448548;0.009925102150664819;0.011866116138447631;-1.0
58;0.17556029882604055;2.897655720582844e-06;0.006513769548057671;-1.0
59;0.16185897435897437;0.0009196472848690058;0.005802403463598022;-1.0
60;0.18284182305630026;1.3570416129728293e-07;0.005223289523572968;-1.0
61;0.1574468085106383;0.005877467639127714;0.033015531762574254;-1.0
62;0.17069327731092437;2.2421406042589052e-05;0.005327116364752653;-1.0
63;0.17011128775834658;2.8636631479685276e-05;0.002176885177715612;-1.0
64;0.1567043618739903;0.008030552620087767;0.016418277537524232;-1.0
65;0.1620762711864407;0.0008393584160636817;0.004372234440995838;-1.0
66;0.15486500254712177;0.01740098653209458;0.02259906969076316;-1.0
67;0.15074309978768577;0.0984343939570125;0.032472012117720085;-1.0
68;0.16554578375581996;0.00019520332704508746;0.006167700613142947;-1.0
69;0.1640461215932914;0.00036668578641591796;0.004107836393835231;-1.0
70;0.16902145473574046;4.527960035456088e-05;0.0008081686187687598;-1.0
71;0.17389033942558746;5.847178461101671e-06;0.0006604275803250451;-1.0
72;0.18017057569296374;4.1716408680004455e-07;0.0032297757629099677;-1.0
73;0.16850393700787403;5.6284714688826815e-05;0.008016314785748102;-1.0
74;0.1742584745762712;5.00878731575386e-06;0.0010512298648674083;-1.0
75;0.1631578947368421;0.000532679118594945;0.03067061500166871;-1.0
76;0.16579497907949792;0.00017578806087032833;0.0175083032265822;-1.0
77;0.16770833333333332;7.864135988848867e-05;0.007795786919693615;-1.0
78;0.17535545023696683;3.158259714706569e-06;0.0014821484862430085;-1.0
