repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;3537;5307;2211;68;2;0.04161;0.07824;1261.00000;0.09055;0.09217;0.03350;417.00000;5724.00000;0.22057;0.33122;0.33200;0.30438;0.51487;0.29367;-1.00000;0.05594;0.09984
2;3537;5307;2211;68;2;0.03844;0.07521;1253.00000;0.08807;0.09198;0.03074;424.00000;5731.00000;0.21374;0.32170;0.31489;0.28689;0.47951;0.28027;-1.00000;0.05470;0.09498
3;3537;5307;2211;68;2;0.04206;0.07721;1259.00000;0.08873;0.08715;0.03227;424.00000;5731.00000;0.21824;0.32875;0.32337;0.29575;0.49829;0.29819;-1.00000;0.05564;0.10000
4;3537;5307;2211;68;2;0.03392;0.07565;1245.00000;0.08744;0.09062;0.03175;413.00000;5720.00000;0.21498;0.32513;0.32308;0.29531;0.49476;0.28531;-1.00000;0.05530;0.09743
5;3537;5307;2211;68;2;0.04523;0.07475;1262.00000;0.08809;0.09027;0.03064;420.00000;5727.00000;0.21243;0.31961;0.31536;0.28725;0.47861;0.28075;-1.00000;0.05263;0.10396
6;3537;5307;2211;68;2;0.04297;0.07322;1259.00000;0.08609;0.09042;0.03000;422.00000;5729.00000;0.20895;0.31562;0.31100;0.28305;0.46777;0.27348;-1.00000;0.05507;0.09338
7;3537;5307;2211;68;2;0.04387;0.07141;1255.00000;0.08448;0.08839;0.02909;423.00000;5730.00000;0.20482;0.31013;0.30547;0.27753;0.45454;0.26893;-1.00000;0.05271;0.08952
8;3537;5307;2211;68;2;0.04251;0.07754;1249.00000;0.09186;0.08763;0.03118;422.00000;5729.00000;0.21925;0.32726;0.31841;0.28991;0.49190;0.29938;-1.00000;0.05954;0.10640
9;3537;5307;2211;68;2;0.03256;0.08356;1255.00000;0.09377;0.09126;0.03670;425.00000;5732.00000;0.23302;0.34868;0.34747;0.32062;0.55607;0.32038;-1.00000;0.05919;0.10619
10;3537;5307;2211;68;2;0.04975;0.07118;1258.00000;0.08484;0.08674;0.02831;422.00000;5729.00000;0.20420;0.30872;0.30143;0.27320;0.44773;0.27071;-1.00000;0.05403;0.09520
11;3537;5307;2211;68;2;0.04432;0.07518;1247.00000;0.08968;0.09034;0.02996;416.00000;5723.00000;0.21383;0.32057;0.31282;0.28418;0.47692;0.28352;-1.00000;0.05027;0.10530
12;3537;5307;2211;68;2;0.03890;0.08084;1250.00000;0.09556;0.08686;0.03345;421.00000;5728.00000;0.22688;0.33647;0.33158;0.30318;0.52236;0.31614;-1.00000;0.06135;0.10366
13;3537;5307;2211;68;2;0.03618;0.07354;1234.00000;0.08577;0.08870;0.03029;409.00000;5716.00000;0.21034;0.31913;0.31584;0.28778;0.47836;0.27955;-1.00000;0.05199;0.09546
14;3537;5307;2211;68;2;0.04251;0.07127;1259.00000;0.08753;0.08969;0.02766;422.00000;5729.00000;0.20439;0.30610;0.29817;0.26938;0.44253;0.26565;-1.00000;0.05086;0.10083
15;3537;5307;2211;68;2;0.03618;0.07341;1257.00000;0.08740;0.08786;0.02979;416.00000;5723.00000;0.20944;0.31541;0.31156;0.28323;0.46948;0.27920;-1.00000;0.05736;0.09356
16;3537;5307;2211;68;2;0.04206;0.07668;1262.00000;0.08821;0.08976;0.03282;410.00000;5717.00000;0.21692;0.32781;0.32976;0.30218;0.50743;0.29076;-1.00000;0.05787;0.11120
17;3537;5307;2211;68;2;0.03528;0.08156;1243.00000;0.09393;0.09245;0.03504;418.00000;5725.00000;0.22874;0.34161;0.34053;0.31291;0.53970;0.30965;-1.00000;0.05905;0.10522
18;3537;5307;2211;68;2;0.03573;0.08132;1250.00000;0.09124;0.08776;0.03556;412.00000;5719.00000;0.22799;0.34350;0.34436;0.31733;0.54562;0.31674;-1.00000;0.06596;0.10974
19;3537;5307;2211;68;2;0.03618;0.08035;1245.00000;0.09517;0.09146;0.03325;405.00000;5712.00000;0.22588;0.33612;0.33456;0.30586;0.52732;0.30571;-1.00000;0.06014;0.09946
20;3537;5307;2211;68;2;0.03890;0.07700;1256.00000;0.09054;0.08498;0.03144;423.00000;5730.00000;0.21781;0.32613;0.31936;0.29117;0.49138;0.30131;-1.00000;0.05806;0.10145
