repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;9525;38103;11907;8;2;0.05442;0.11896;3400.00000;0.14738;0.14768;0.04529;1181.00000;39284.00000;0.28395;0.34307;0.31083;0.28823;0.48448;0.29230;-1.00000;0.09039;0.16091
2;9525;38103;11907;8;2;0.05854;0.12752;3447.00000;0.15585;0.15587;0.04932;1189.00000;39292.00000;0.30202;0.36345;0.33065;0.30759;0.53327;0.31247;-1.00000;0.09540;0.18047
3;9525;38103;11907;8;2;0.05795;0.12414;3454.00000;0.15001;0.14933;0.04879;1209.00000;39312.00000;0.29472;0.35827;0.32666;0.30403;0.51721;0.31061;-1.00000;0.09828;0.17288
4;9525;38103;11907;8;2;0.05753;0.12648;3426.00000;0.15439;0.15224;0.04967;1191.00000;39294.00000;0.29994;0.36176;0.33217;0.30918;0.53255;0.31540;-1.00000;0.09575;0.18984
5;9525;38103;11907;8;2;0.06114;0.12217;3448.00000;0.15095;0.15128;0.04662;1191.00000;39294.00000;0.29052;0.34961;0.31701;0.29429;0.49984;0.29840;-1.00000;0.09231;0.17033
6;9525;38103;11907;8;2;0.06391;0.12343;3448.00000;0.15291;0.15338;0.04749;1190.00000;39293.00000;0.29324;0.35171;0.32143;0.29859;0.50919;0.29974;-1.00000;0.09346;0.15719
7;9525;38103;11907;8;2;0.05912;0.12719;3424.00000;0.15730;0.15736;0.04856;1178.00000;39281.00000;0.30147;0.36056;0.32756;0.30440;0.52915;0.30848;-1.00000;0.09235;0.18063
8;9525;38103;11907;8;2;0.05904;0.12312;3428.00000;0.15071;0.15115;0.04786;1186.00000;39289.00000;0.29271;0.35408;0.32343;0.30061;0.51165;0.30304;-1.00000;0.09815;0.15714
9;9525;38103;11907;8;2;0.05854;0.12703;3440.00000;0.15529;0.15360;0.04926;1186.00000;39289.00000;0.30101;0.36252;0.33052;0.30746;0.53195;0.31490;-1.00000;0.09932;0.16843
10;9525;38103;11907;8;2;0.05963;0.11930;3411.00000;0.14821;0.14925;0.04515;1179.00000;39282.00000;0.28461;0.34309;0.31026;0.28762;0.48446;0.29054;-1.00000;0.09508;0.16535
11;9525;38103;11907;8;2;0.05896;0.12189;3427.00000;0.14874;0.14588;0.04750;1191.00000;39294.00000;0.29008;0.35206;0.32126;0.29858;0.50523;0.30808;-1.00000;0.09600;0.16662
12;9525;38103;11907;8;2;0.05644;0.12398;3406.00000;0.15383;0.15408;0.04680;1190.00000;39293.00000;0.29471;0.35303;0.31805;0.29522;0.50695;0.30133;-1.00000;0.09264;0.16469
13;9525;38103;11907;8;2;0.06223;0.11915;3435.00000;0.14682;0.14845;0.04597;1207.00000;39310.00000;0.28411;0.34361;0.31274;0.29033;0.48576;0.29108;-1.00000;0.09322;0.16353
14;9525;38103;11907;8;2;0.05610;0.12747;3403.00000;0.15566;0.15379;0.04980;1181.00000;39284.00000;0.30220;0.36426;0.33345;0.31031;0.53817;0.31695;-1.00000;0.10161;0.16242
15;9525;38103;11907;8;2;0.06139;0.12599;3449.00000;0.15450;0.15150;0.04885;1194.00000;39297.00000;0.29872;0.35930;0.32802;0.30508;0.52498;0.31441;-1.00000;0.09793;0.17257
16;9525;38103;11907;8;2;0.06080;0.12477;3432.00000;0.15269;0.15173;0.04833;1182.00000;39285.00000;0.29623;0.35769;0.32604;0.30309;0.51986;0.30896;-1.00000;0.09700;0.18752
17;9525;38103;11907;8;2;0.05896;0.12440;3416.00000;0.15311;0.15124;0.04739;1190.00000;39293.00000;0.29553;0.35561;0.32095;0.29811;0.51185;0.30853;-1.00000;0.09362;0.16126
18;9525;38103;11907;8;2;0.05803;0.12211;3420.00000;0.14930;0.15042;0.04760;1167.00000;39270.00000;0.29059;0.35271;0.32318;0.30027;0.50967;0.30024;-1.00000;0.09717;0.16848
19;9525;38103;11907;8;2;0.06080;0.12572;3433.00000;0.15564;0.15479;0.04773;1189.00000;39292.00000;0.29825;0.35687;0.32277;0.29981;0.51770;0.30703;-1.00000;0.09261;0.18060
20;9525;38103;11907;8;2;0.05736;0.12406;3397.00000;0.15195;0.15433;0.04780;1192.00000;39295.00000;0.29493;0.35619;0.32284;0.30003;0.51373;0.30129;-1.00000;0.10037;0.16510
