repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;4762;42866;11907;8;2;0.06181;0.14147;1699.00000;0.17650;0.17391;0.05363;577.00000;43443.00000;0.35212;0.44656;0.41400;0.38218;0.88642;0.37897;-1.00000;0.10376;0.21315
2;4762;42866;11907;8;2;0.06492;0.13554;1689.00000;0.16608;0.17073;0.05245;570.00000;43436.00000;0.33937;0.43804;0.40818;0.37722;0.83814;0.35964;-1.00000;0.09914;0.17769
3;4762;42866;11907;8;2;0.06383;0.13422;1698.00000;0.16765;0.16803;0.04951;578.00000;43444.00000;0.33629;0.43038;0.39223;0.36078;0.80166;0.35874;-1.00000;0.09275;0.22079
4;4762;42866;11907;8;2;0.06971;0.14041;1682.00000;0.17499;0.17860;0.05264;575.00000;43441.00000;0.35015;0.44519;0.40928;0.37744;0.87396;0.36583;-1.00000;0.09785;0.19727
5;4762;42866;11907;8;2;0.06643;0.13815;1696.00000;0.16948;0.17482;0.05293;580.00000;43446.00000;0.34493;0.44280;0.40924;0.37813;0.85433;0.36275;-1.00000;0.09232;0.19508
6;4762;42866;11907;8;2;0.07155;0.13904;1698.00000;0.17322;0.17412;0.05271;574.00000;43440.00000;0.34683;0.44175;0.40962;0.37796;0.86267;0.36795;-1.00000;0.09932;0.20210
7;4762;42866;11907;8;2;0.07122;0.14927;1705.00000;0.18448;0.17842;0.05697;586.00000;43452.00000;0.36895;0.46484;0.42987;0.39787;0.97082;0.40386;-1.00000;0.10954;0.22367
8;4762;42866;11907;8;2;0.06643;0.14550;1696.00000;0.18123;0.18162;0.05527;573.00000;43439.00000;0.36095;0.45600;0.42338;0.39124;0.93464;0.38155;-1.00000;0.10523;0.20159
9;4762;42866;11907;8;2;0.06945;0.14955;1678.00000;0.18618;0.18202;0.05578;577.00000;43443.00000;0.37012;0.46527;0.42569;0.39318;0.97496;0.39921;-1.00000;0.10608;0.22714
10;4762;42866;11907;8;2;0.06786;0.14194;1691.00000;0.17427;0.17662;0.05464;572.00000;43438.00000;0.35329;0.45161;0.41965;0.38816;0.90137;0.37602;-1.00000;0.10880;0.20573
11;4762;42866;11907;8;2;0.06736;0.14132;1695.00000;0.17317;0.17316;0.05455;583.00000;43449.00000;0.35186;0.44990;0.41717;0.38597;0.88867;0.37992;-1.00000;0.10029;0.19548
12;4762;42866;11907;8;2;0.06282;0.14665;1700.00000;0.18361;0.18465;0.05493;580.00000;43446.00000;0.36337;0.45676;0.42068;0.38837;0.93733;0.38045;-1.00000;0.09936;0.22436
13;4762;42866;11907;8;2;0.06845;0.14703;1700.00000;0.17815;0.17540;0.05839;576.00000;43442.00000;0.36420;0.46513;0.43774;0.40665;0.96703;0.40028;-1.00000;0.10741;0.20104
14;4762;42866;11907;8;2;0.07038;0.14704;1706.00000;0.17991;0.17716;0.05645;574.00000;43440.00000;0.36409;0.46290;0.42886;0.39709;0.95453;0.39658;-1.00000;0.11161;0.21958
15;4762;42866;11907;8;2;0.06635;0.14352;1706.00000;0.17773;0.18147;0.05422;585.00000;43451.00000;0.35643;0.45195;0.41567;0.38395;0.90163;0.37277;-1.00000;0.10873;0.20255
16;4762;42866;11907;8;2;0.06492;0.14154;1693.00000;0.17240;0.17218;0.05468;567.00000;43433.00000;0.35238;0.45263;0.42052;0.38919;0.90126;0.38291;-1.00000;0.10341;0.20277
17;4762;42866;11907;8;2;0.07323;0.14240;1683.00000;0.17829;0.17947;0.05347;578.00000;43444.00000;0.35446;0.44829;0.41323;0.38122;0.89403;0.37278;-1.00000;0.09949;0.20968
18;4762;42866;11907;8;2;0.06945;0.14817;1694.00000;0.18165;0.17962;0.05751;579.00000;43445.00000;0.36679;0.46507;0.43337;0.40168;0.97036;0.39721;-1.00000;0.10281;0.20557
19;4762;42866;11907;8;2;0.06786;0.14486;1703.00000;0.18059;0.17436;0.05511;578.00000;43444.00000;0.35941;0.45388;0.42163;0.38961;0.92391;0.39272;-1.00000;0.10444;0.22358
20;4762;42866;11907;8;2;0.06710;0.14391;1705.00000;0.17547;0.17642;0.05612;561.00000;43427.00000;0.35730;0.45756;0.42905;0.39755;0.93343;0.38442;-1.00000;0.10757;0.20438
