repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;5969;33830;9950;300;2;0.01578;0.02727;2129.00000;0.02608;0.02639;0.01406;721.00000;34551.00000;0.08648;0.15051;0.16653;0.14848;0.18357;0.13071;-1.00000;0.02004;0.03573
2;5969;33830;9950;300;2;0.01387;0.02652;2133.00000;0.02682;0.02662;0.01295;724.00000;34554.00000;0.08459;0.14619;0.15946;0.14131;0.17450;0.12648;-1.00000;0.01817;0.03625
3;5969;33830;9950;300;2;0.01417;0.02672;2120.00000;0.02499;0.02477;0.01433;715.00000;34545.00000;0.08518;0.14925;0.16855;0.15058;0.18556;0.13112;-1.00000;0.02106;0.03618
4;5969;33830;9950;300;2;0.01548;0.02551;2138.00000;0.02489;0.02534;0.01295;724.00000;34554.00000;0.08206;0.14339;0.15926;0.14132;0.17355;0.12373;-1.00000;0.01861;0.03621
5;5969;33830;9950;300;2;0.01739;0.02520;2147.00000;0.02604;0.02471;0.01257;739.00000;34569.00000;0.08119;0.14042;0.15572;0.13782;0.16901;0.12316;-1.00000;0.01716;0.03879
6;5969;33830;9950;300;2;0.01417;0.02850;2146.00000;0.02968;0.02870;0.01380;739.00000;34569.00000;0.08938;0.15196;0.16374;0.14550;0.18100;0.13224;-1.00000;0.01946;0.04097
7;5969;33830;9950;300;2;0.01528;0.02521;2140.00000;0.02611;0.02549;0.01210;731.00000;34561.00000;0.08128;0.14061;0.15351;0.13550;0.16646;0.12189;-1.00000;0.01496;0.03705
8;5969;33830;9950;300;2;0.01487;0.02356;2132.00000;0.02316;0.02455;0.01183;730.00000;34560.00000;0.07720;0.13592;0.15154;0.13382;0.16309;0.11540;-1.00000;0.01604;0.03307
9;5969;33830;9950;300;2;0.01508;0.02498;2134.00000;0.02463;0.02439;0.01243;724.00000;34554.00000;0.08077;0.14123;0.15599;0.13805;0.16931;0.12290;-1.00000;0.01500;0.03534
10;5969;33830;9950;300;2;0.01628;0.02724;2130.00000;0.02682;0.02819;0.01401;727.00000;34557.00000;0.08641;0.14954;0.16573;0.14767;0.18252;0.12722;-1.00000;0.01844;0.03453
11;5969;33830;9950;300;2;0.01226;0.02397;2140.00000;0.02429;0.02329;0.01193;731.00000;34561.00000;0.07819;0.13664;0.15223;0.13440;0.16409;0.11972;-1.00000;0.01639;0.03318
12;5969;33830;9950;300;2;0.01709;0.02767;2118.00000;0.02829;0.02818;0.01376;718.00000;34548.00000;0.08757;0.15033;0.16517;0.14682;0.18213;0.12959;-1.00000;0.01865;0.03749
13;5969;33830;9950;300;2;0.01467;0.02820;2147.00000;0.02787;0.02655;0.01430;728.00000;34558.00000;0.08865;0.15263;0.16755;0.14939;0.18538;0.13477;-1.00000;0.01773;0.04076
14;5969;33830;9950;300;2;0.01427;0.02989;2149.00000;0.02960;0.02957;0.01541;740.00000;34570.00000;0.09276;0.15835;0.17335;0.15522;0.19365;0.13744;-1.00000;0.01920;0.03796
15;5969;33830;9950;300;2;0.01367;0.02570;2124.00000;0.02714;0.02719;0.01231;729.00000;34559.00000;0.08263;0.14211;0.15507;0.13693;0.16864;0.12145;-1.00000;0.01688;0.03784
16;5969;33830;9950;300;2;0.01357;0.02662;2147.00000;0.02458;0.02326;0.01381;728.00000;34558.00000;0.08473;0.14864;0.16419;0.14638;0.18035;0.13296;-1.00000;0.01900;0.03659
17;5969;33830;9950;300;2;0.01709;0.02802;2107.00000;0.02732;0.02657;0.01457;726.00000;34556.00000;0.08851;0.15299;0.16928;0.15119;0.18747;0.13449;-1.00000;0.01874;0.03876
18;5969;33830;9950;300;2;0.01497;0.02792;2147.00000;0.02653;0.02615;0.01438;735.00000;34565.00000;0.08794;0.15260;0.16726;0.14934;0.18494;0.13409;-1.00000;0.01848;0.04106
19;5969;33830;9950;300;2;0.01477;0.02604;2141.00000;0.02626;0.02596;0.01289;733.00000;34563.00000;0.08333;0.14427;0.15830;0.14031;0.17275;0.12515;-1.00000;0.01892;0.03237
20;5969;33830;9950;300;2;0.01518;0.02497;2116.00000;0.02471;0.02453;0.01301;729.00000;34559.00000;0.08087;0.14130;0.15921;0.14135;0.17309;0.12287;-1.00000;0.01747;0.04291
