repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;324;6175;1625;22;2;0.00862;0.02472;108.00000;0.02968;0.04132;0.00929;27.00000;6202.00000;0.22796;0.41281;0.75751;0.84776;1.00000;0.42141;-1.00000;0.00000;0.08264
2;324;6175;1625;22;2;0.00738;0.01978;108.00000;0.02637;0.02814;0.00612;24.00000;6199.00000;0.20932;0.38369;0.77718;0.88321;1.00000;0.40622;-1.00000;0.00000;0.06087
3;324;6175;1625;22;2;0.00123;0.02625;106.00000;0.03926;0.03492;0.00672;27.00000;6202.00000;0.23576;0.42483;0.74644;0.81820;1.00000;0.44876;-1.00000;0.00000;0.10084
4;324;6175;1625;22;2;0.01169;0.02107;103.00000;0.03245;0.03186;0.00412;27.00000;6202.00000;0.21979;0.40043;0.72614;0.78544;1.00000;0.42209;-1.00000;0.00000;0.06957
5;324;6175;1625;22;2;0.00246;0.02585;103.00000;0.04139;0.03584;0.00557;23.00000;6198.00000;0.23772;0.42804;0.79469;0.90397;1.00000;0.45172;-1.00000;0.00000;0.08065
6;324;6175;1625;22;2;0.00800;0.02681;105.00000;0.04045;0.03936;0.00733;29.00000;6204.00000;0.23890;0.42963;0.72663;0.78435;1.00000;0.44763;-1.00000;0.00000;0.09322
7;324;6175;1625;22;2;0.00800;0.02244;105.00000;0.03183;0.03538;0.00724;24.00000;6199.00000;0.22277;0.40495;0.78594;0.89670;1.00000;0.42171;-1.00000;0.00000;0.09009
8;324;6175;1625;22;2;0.00246;0.02643;107.00000;0.03550;0.03719;0.00759;27.00000;6202.00000;0.23528;0.42409;0.75015;0.82848;1.00000;0.44369;-1.00000;0.00000;0.09244
9;324;6175;1625;22;2;0.01108;0.02189;106.00000;0.03327;0.03388;0.00395;22.00000;6197.00000;0.21958;0.39993;0.79655;0.91240;1.00000;0.41765;-1.00000;0.00000;0.08772
10;324;6175;1625;22;2;0.00554;0.02348;106.00000;0.04041;0.03238;0.00432;27.00000;6202.00000;0.22553;0.40909;0.73094;0.78801;1.00000;0.43233;-1.00000;0.00000;0.07563
11;324;6175;1625;22;2;0.00431;0.02338;105.00000;0.03768;0.03296;0.00447;27.00000;6202.00000;0.22627;0.41033;0.73086;0.79005;1.00000;0.43303;-1.00000;0.00000;0.10833
12;324;6175;1625;22;2;0.00615;0.02009;105.00000;0.03311;0.03916;0.00342;25.00000;6200.00000;0.21375;0.39085;0.74846;0.82233;1.00000;0.39680;-1.00000;0.00000;0.08800
13;324;6175;1625;22;2;0.00862;0.02262;107.00000;0.03735;0.03436;0.00456;28.00000;6203.00000;0.22124;0.40239;0.71867;0.77011;1.00000;0.42002;-1.00000;0.00000;0.08130
14;324;6175;1625;22;2;0.00246;0.02514;103.00000;0.04190;0.04004;0.00459;26.00000;6201.00000;0.23510;0.42401;0.74664;0.81408;1.00000;0.43909;-1.00000;0.00000;0.09244
15;324;6175;1625;22;2;0.00308;0.02329;99.00000;0.03375;0.03382;0.00575;24.00000;6199.00000;0.23300;0.42115;0.77813;0.87867;1.00000;0.44640;-1.00000;0.00000;0.08475
16;324;6175;1625;22;2;0.00800;0.02356;105.00000;0.03507;0.03805;0.00546;23.00000;6198.00000;0.22697;0.41146;0.79134;0.90251;1.00000;0.42564;-1.00000;0.00000;0.07080
17;324;6175;1625;22;2;0.00800;0.02073;108.00000;0.02869;0.03781;0.00632;26.00000;6201.00000;0.21299;0.38947;0.75221;0.83589;1.00000;0.39707;-1.00000;0.00000;0.08943
18;324;6175;1625;22;2;0.00000;0.02124;107.00000;0.03307;0.02880;0.00489;26.00000;6201.00000;0.21601;0.39426;0.74489;0.81801;1.00000;0.41889;-1.00000;0.00000;0.08130
19;324;6175;1625;22;2;0.00246;0.02111;105.00000;0.03569;0.02935;0.00354;26.00000;6201.00000;0.21769;0.39701;0.73661;0.80004;1.00000;0.42173;-1.00000;0.00000;0.07087
20;324;6175;1625;22;2;0.00185;0.02838;102.00000;0.03953;0.03307;0.00837;25.00000;6200.00000;0.24805;0.44374;0.78193;0.88400;1.00000;0.47770;-1.00000;0.00000;0.06897
