repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;1949;4550;1625;22;2;0.00000;0.00216;671.00000;0.00382;0.00417;0.00024;225.00000;4775.00000;0.03367;0.06781;0.14851;0.11763;0.13972;0.06920;-1.00000;0.00000;0.01216
2;1949;4550;1625;22;2;0.00000;0.00253;682.00000;0.00467;0.00302;0.00028;217.00000;4767.00000;0.03499;0.07034;0.15373;0.12212;0.14544;0.07302;-1.00000;0.00000;0.01128
3;1949;4550;1625;22;2;0.00062;0.00225;683.00000;0.00357;0.00385;0.00044;218.00000;4768.00000;0.03370;0.06784;0.15570;0.12441;0.14750;0.06955;-1.00000;0.00000;0.01257
4;1949;4550;1625;22;2;0.00062;0.00206;686.00000;0.00336;0.00439;0.00036;223.00000;4773.00000;0.03270;0.06590;0.15164;0.12072;0.14289;0.06691;-1.00000;0.00000;0.01839
5;1949;4550;1625;22;2;0.00000;0.00214;679.00000;0.00393;0.00380;0.00025;216.00000;4766.00000;0.03334;0.06715;0.15369;0.12207;0.14493;0.06888;-1.00000;0.00000;0.01255
6;1949;4550;1625;22;2;0.00000;0.00204;676.00000;0.00353;0.00299;0.00025;220.00000;4770.00000;0.03295;0.06640;0.15135;0.12011;0.14245;0.06893;-1.00000;0.00000;0.01364
7;1949;4550;1625;22;2;0.00246;0.00196;682.00000;0.00322;0.00408;0.00027;215.00000;4765.00000;0.03238;0.06527;0.15442;0.12283;0.14550;0.06660;-1.00000;0.00000;0.01264
8;1949;4550;1625;22;2;0.00000;0.00205;687.00000;0.00376;0.00386;0.00021;219.00000;4769.00000;0.03264;0.06577;0.15114;0.11976;0.14202;0.06735;-1.00000;0.00000;0.01135
9;1949;4550;1625;22;2;0.00000;0.00202;679.00000;0.00311;0.00318;0.00036;218.00000;4768.00000;0.03274;0.06598;0.15437;0.12310;0.14575;0.06829;-1.00000;0.00000;0.00993
10;1949;4550;1625;22;2;0.00000;0.00255;683.00000;0.00408;0.00393;0.00045;220.00000;4770.00000;0.03505;0.07046;0.15481;0.12361;0.14696;0.07222;-1.00000;0.00000;0.01364
11;1949;4550;1625;22;2;0.00000;0.00249;676.00000;0.00427;0.00467;0.00044;216.00000;4766.00000;0.03500;0.07038;0.15695;0.12540;0.14912;0.07133;-1.00000;0.00000;0.01532
12;1949;4550;1625;22;2;0.00000;0.00247;683.00000;0.00415;0.00347;0.00032;222.00000;4772.00000;0.03469;0.06976;0.15154;0.12041;0.14323;0.07196;-1.00000;0.00000;0.01781
13;1949;4550;1625;22;2;0.00000;0.00193;669.00000;0.00266;0.00301;0.00051;219.00000;4769.00000;0.03266;0.06584;0.15607;0.12502;0.14779;0.06834;-1.00000;0.00000;0.01545
14;1949;4550;1625;22;2;0.00000;0.00192;684.00000;0.00296;0.00421;0.00031;220.00000;4770.00000;0.03213;0.06478;0.15223;0.12110;0.14327;0.06595;-1.00000;0.00000;0.01122
15;1949;4550;1625;22;2;0.00000;0.00225;689.00000;0.00345;0.00510;0.00068;221.00000;4771.00000;0.03352;0.06749;0.15775;0.12682;0.14994;0.06775;-1.00000;0.00000;0.00955
16;1949;4550;1625;22;2;0.00000;0.00249;680.00000;0.00387;0.00393;0.00061;214.00000;4764.00000;0.03489;0.07016;0.16074;0.12918;0.15334;0.07191;-1.00000;0.00000;0.01245
17;1949;4550;1625;22;2;0.00000;0.00225;682.00000;0.00344;0.00341;0.00058;222.00000;4772.00000;0.03375;0.06793;0.15571;0.12482;0.14777;0.07010;-1.00000;0.00000;0.01231
18;1949;4550;1625;22;2;0.00000;0.00162;682.00000;0.00293;0.00238;0.00014;206.00000;4756.00000;0.03072;0.06202;0.15731;0.12491;0.14772;0.06487;-1.00000;0.00000;0.00990
19;1949;4550;1625;22;2;0.00185;0.00233;682.00000;0.00335;0.00342;0.00063;222.00000;4772.00000;0.03412;0.06866;0.15636;0.12550;0.14864;0.07086;-1.00000;0.00000;0.01383
20;1949;4550;1625;22;2;0.00000;0.00209;686.00000;0.00345;0.00273;0.00031;221.00000;4771.00000;0.03286;0.06620;0.15186;0.12075;0.14307;0.06892;-1.00000;0.00000;0.01087
