repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;2274;4225;1625;22;2;0.00185;0.00168;797.00000;0.00289;0.00371;0.00021;262.00000;4487.00000;0.02796;0.05647;0.13050;0.10234;0.11989;0.05761;-1.00000;0.00000;0.00960
2;2274;4225;1625;22;2;0.00000;0.00180;806.00000;0.00306;0.00267;0.00037;256.00000;4481.00000;0.02834;0.05720;0.13582;0.10731;0.12557;0.05933;-1.00000;0.00000;0.01178
3;2274;4225;1625;22;2;0.00000;0.00142;787.00000;0.00258;0.00187;0.00011;250.00000;4475.00000;0.02692;0.05445;0.13356;0.10459;0.12249;0.05713;-1.00000;0.00000;0.00731
4;2274;4225;1625;22;2;0.00000;0.00171;793.00000;0.00268;0.00265;0.00032;258.00000;4483.00000;0.02821;0.05697;0.13404;0.10569;0.12372;0.05914;-1.00000;0.00000;0.01088
5;2274;4225;1625;22;2;0.00000;0.00186;804.00000;0.00259;0.00267;0.00065;252.00000;4477.00000;0.02867;0.05785;0.14187;0.11324;0.13225;0.06002;-1.00000;0.00000;0.00964
6;2274;4225;1625;22;2;0.00000;0.00216;804.00000;0.00399;0.00363;0.00027;263.00000;4488.00000;0.03005;0.06054;0.13129;0.10309;0.12121;0.06193;-1.00000;0.00000;0.01073
7;2274;4225;1625;22;2;0.00000;0.00196;802.00000;0.00329;0.00290;0.00037;254.00000;4479.00000;0.02916;0.05881;0.13674;0.10807;0.12670;0.06082;-1.00000;0.00000;0.01185
8;2274;4225;1625;22;2;0.00000;0.00135;805.00000;0.00247;0.00241;0.00012;256.00000;4481.00000;0.02617;0.05296;0.13121;0.10267;0.11999;0.05514;-1.00000;0.00000;0.01308
9;2274;4225;1625;22;2;0.00062;0.00164;803.00000;0.00256;0.00239;0.00036;265.00000;4490.00000;0.02765;0.05586;0.13193;0.10406;0.12157;0.05817;-1.00000;0.00000;0.00847
10;2274;4225;1625;22;2;0.00000;0.00199;789.00000;0.00327;0.00264;0.00048;258.00000;4483.00000;0.02962;0.05973;0.13685;0.10847;0.12713;0.06204;-1.00000;0.00000;0.01063
11;2274;4225;1625;22;2;0.00123;0.00133;805.00000;0.00211;0.00347;0.00025;260.00000;4485.00000;0.02607;0.05277;0.13196;0.10378;0.12102;0.05397;-1.00000;0.00000;0.00726
12;2274;4225;1625;22;2;0.00000;0.00225;793.00000;0.00325;0.00303;0.00067;255.00000;4480.00000;0.03068;0.06180;0.14096;0.11245;0.13187;0.06385;-1.00000;0.00000;0.01483
13;2274;4225;1625;22;2;0.00000;0.00200;795.00000;0.00317;0.00328;0.00044;249.00000;4474.00000;0.02949;0.05947;0.14001;0.11104;0.13021;0.06118;-1.00000;0.00000;0.01669
14;2274;4225;1625;22;2;0.00000;0.00150;802.00000;0.00273;0.00198;0.00012;259.00000;4484.00000;0.02698;0.05455;0.12997;0.10160;0.11894;0.05713;-1.00000;0.00000;0.01060
15;2274;4225;1625;22;2;0.00000;0.00147;799.00000;0.00212;0.00211;0.00040;260.00000;4485.00000;0.02690;0.05440;0.13457;0.10644;0.12411;0.05688;-1.00000;0.00000;0.00723
16;2274;4225;1625;22;2;0.00000;0.00172;792.00000;0.00329;0.00229;0.00009;259.00000;4484.00000;0.02827;0.05708;0.12934;0.10088;0.11850;0.05955;-1.00000;0.00000;0.02029
17;2274;4225;1625;22;2;0.00000;0.00207;797.00000;0.00313;0.00419;0.00057;255.00000;4480.00000;0.02978;0.06004;0.13942;0.11090;0.12992;0.06083;-1.00000;0.00000;0.00708
18;2274;4225;1625;22;2;0.00000;0.00188;807.00000;0.00331;0.00334;0.00019;259.00000;4484.00000;0.02867;0.05784;0.13145;0.10304;0.12093;0.05938;-1.00000;0.00000;0.00963
19;2274;4225;1625;22;2;0.00000;0.00226;806.00000;0.00356;0.00268;0.00047;261.00000;4486.00000;0.03044;0.06131;0.13547;0.10725;0.12591;0.06363;-1.00000;0.00000;0.01167
20;2274;4225;1625;22;2;0.00000;0.00160;802.00000;0.00282;0.00321;0.00018;259.00000;4484.00000;0.02747;0.05551;0.13116;0.10281;0.12037;0.05709;-1.00000;0.00000;0.01087
