repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;2211;6633;2211;68;2;0.04342;0.09172;780.00000;0.10733;0.10686;0.03759;241.00000;6874.00000;0.27058;0.41295;0.42515;0.39384;0.82679;0.36672;-1.00000;0.06788;0.13091
2;2211;6633;2211;68;2;0.04613;0.08575;786.00000;0.09783;0.10405;0.03646;248.00000;6881.00000;0.25614;0.39711;0.41286;0.38303;0.76304;0.34283;-1.00000;0.05823;0.11582
3;2211;6633;2211;68;2;0.04161;0.09314;783.00000;0.11289;0.11237;0.03651;258.00000;6891.00000;0.27373;0.41119;0.41103;0.37786;0.80087;0.36269;-1.00000;0.06732;0.12346
4;2211;6633;2211;68;2;0.04116;0.09694;781.00000;0.11456;0.10508;0.04012;253.00000;6886.00000;0.28275;0.42484;0.43325;0.40198;0.87271;0.39451;-1.00000;0.07143;0.13203
5;2211;6633;2211;68;2;0.04659;0.09575;775.00000;0.10873;0.10808;0.04142;247.00000;6880.00000;0.28032;0.42677;0.44190;0.41302;0.88628;0.38407;-1.00000;0.07308;0.13407
6;2211;6633;2211;68;2;0.04613;0.08715;774.00000;0.10287;0.10686;0.03459;247.00000;6880.00000;0.26014;0.39931;0.40451;0.37226;0.75776;0.34573;-1.00000;0.05432;0.10907
7;2211;6633;2211;68;2;0.04794;0.09088;776.00000;0.10470;0.10946;0.03765;252.00000;6885.00000;0.26884;0.41129;0.41854;0.38791;0.80586;0.35835;-1.00000;0.06846;0.12531
8;2211;6633;2211;68;2;0.04659;0.08891;764.00000;0.10520;0.10783;0.03658;256.00000;6889.00000;0.26489;0.40405;0.41077;0.37932;0.77882;0.35353;-1.00000;0.05718;0.11758
9;2211;6633;2211;68;2;0.05246;0.09141;768.00000;0.10581;0.10519;0.03872;247.00000;6880.00000;0.27055;0.41361;0.42722;0.39707;0.82898;0.36984;-1.00000;0.06313;0.12250
10;2211;6633;2211;68;2;0.05066;0.08518;775.00000;0.10559;0.10965;0.03248;256.00000;6889.00000;0.25542;0.38814;0.38845;0.35450;0.71203;0.33099;-1.00000;0.05825;0.11981
11;2211;6633;2211;68;2;0.04613;0.08583;776.00000;0.10095;0.10157;0.03614;253.00000;6886.00000;0.25689;0.39509;0.40905;0.37828;0.75561;0.34904;-1.00000;0.05623;0.11576
12;2211;6633;2211;68;2;0.05834;0.09023;759.00000;0.10767;0.10690;0.03586;242.00000;6875.00000;0.26830;0.40890;0.41542;0.38287;0.80213;0.36220;-1.00000;0.05890;0.12621
13;2211;6633;2211;68;2;0.04659;0.08910;770.00000;0.10230;0.10295;0.03841;247.00000;6880.00000;0.26498;0.40769;0.42474;0.39522;0.80888;0.36282;-1.00000;0.06127;0.11496
14;2211;6633;2211;68;2;0.03935;0.09477;785.00000;0.10934;0.11011;0.04083;256.00000;6889.00000;0.27743;0.42062;0.43399;0.40446;0.85668;0.37438;-1.00000;0.05774;0.12030
15;2211;6633;2211;68;2;0.05066;0.08699;771.00000;0.10187;0.10274;0.03662;250.00000;6883.00000;0.25993;0.39955;0.41351;0.38284;0.77292;0.35301;-1.00000;0.06592;0.12252
16;2211;6633;2211;68;2;0.05518;0.08878;784.00000;0.10395;0.10127;0.03604;247.00000;6880.00000;0.26342;0.40367;0.41261;0.38105;0.78098;0.36270;-1.00000;0.06008;0.12811
17;2211;6633;2211;68;2;0.05337;0.08679;770.00000;0.10143;0.10192;0.03611;254.00000;6887.00000;0.25951;0.39885;0.40849;0.37759;0.76151;0.35369;-1.00000;0.06280;0.13184
18;2211;6633;2211;68;2;0.04342;0.09342;778.00000;0.10963;0.10923;0.03781;249.00000;6882.00000;0.27468;0.41668;0.42223;0.39054;0.82990;0.37055;-1.00000;0.06189;0.12855
19;2211;6633;2211;68;2;0.04704;0.09660;778.00000;0.10918;0.10547;0.04185;248.00000;6881.00000;0.28212;0.42914;0.44363;0.41495;0.89476;0.39253;-1.00000;0.06843;0.12394
20;2211;6633;2211;68;2;0.04161;0.08634;781.00000;0.10354;0.10532;0.03430;246.00000;6879.00000;0.25782;0.39500;0.40364;0.37105;0.74954;0.34388;-1.00000;0.05651;0.12830
