dataset,c,d,tnd_KL,tnd_gibbs,tnd_tandem,tnd_tnd,tnd_TandemUB,mu_KL,mu_MU,mu_muTandemUB,mu_bmu,bern_KL,bern_bern,bern_mutandem_risk,bern_vartandem_risk,bern_varUB,bern_bernTandemUB,bern_bmu,bern_bg,bern_bl
SVMGuide1,2.0,4.0,1.1331,0.10614,0.03681,0.2366,0.05915,1.49157,0.23605,0.0819,-0.089,1.26955,0.26453,0.03904,0.03611,0.06328,0.06828,-0.008,0.42742,0.49495
Phishing,2.0,68.0,1.01255,0.18674,0.07122,0.37589,0.09397,1.40857,0.37634,0.14191,-0.114,0.90724,0.39456,0.06825,0.0615,0.08527,0.09397,0.012,0.30863,0.3325
Mushroom,2.0,22.0,1.31845,0.1105,0.03571,0.22661,0.05665,1.61059,0.22717,0.08016,-0.094,1.2465,0.25179,0.03699,0.03374,0.05751,0.06295,0.0,0.42146,0.47822
Splice,2.0,60.0,1.11055,0.30033,0.11784,0.68415,0.17104,2.16033,0.64935,0.64935,-0.5,1.64049,0.75539,0.24716,0.17388,0.29308,0.34354,-0.174,0.30686,0.4674
Adult,2.0,123.0,1.16124,0.26358,0.12089,0.55028,0.13757,1.38173,0.55427,0.1884,-0.08258,0.65905,1.0,0.84974,0.40222,1.0,1.0,-0.5,0.87282,0.99563
