repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
38;2540;635;60;2;0.03307;0.18937;1515.00000;0.27209;0.20621;0.05327;876.00000;3175.00000;0.45979;0.48650;0.37451;0.34672;1.00000;0.49597;0.51499;-1.00000;0.11883;0.29216
39;2540;635;60;2;0.04094;0.18781;1503.00000;0.27047;0.20521;0.05246;877.00000;3175.00000;0.45676;0.48339;0.37027;0.34262;1.00000;0.49284;0.51094;-1.00000;0.12020;0.25696
40;2540;635;60;2;0.02992;0.18880;1511.00000;0.26896;0.20473;0.05404;877.00000;3175.00000;0.45869;0.48954;0.37833;0.35044;1.00000;0.49945;0.51574;-1.00000;0.12181;0.28018
41;2540;635;60;2;0.02677;0.19732;1516.00000;0.28254;0.21494;0.05617;870.00000;3175.00000;0.47679;0.50165;0.38987;0.36154;1.00000;0.51110;0.53161;-1.00000;0.13151;0.27825
42;2540;635;60;2;0.03465;0.19471;1508.00000;0.27733;0.21058;0.05610;875.00000;3175.00000;0.47141;0.49991;0.38904;0.36079;1.00000;0.50968;0.52958;-1.00000;0.11997;0.27083
43;2540;635;60;2;0.03780;0.19380;1517.00000;0.27770;0.21072;0.05513;881.00000;3175.00000;0.46922;0.49481;0.38351;0.35551;1.00000;0.50425;0.52487;-1.00000;0.12337;0.27774
44;2540;635;60;2;0.02835;0.19341;1505.00000;0.27638;0.21080;0.05541;879.00000;3175.00000;0.46872;0.49617;0.38513;0.35706;1.00000;0.50581;0.52374;-1.00000;0.13531;0.26628
45;2540;635;60;2;0.03622;0.19920;1518.00000;0.28391;0.21552;0.05740;877.00000;3175.00000;0.48075;0.50654;0.39540;0.36699;1.00000;0.51609;0.53838;-1.00000;0.12127;0.28060
46;2540;635;60;2;0.03465;0.19788;1514.00000;0.28125;0.21318;0.05750;877.00000;3175.00000;0.47803;0.50583;0.39592;0.36750;1.00000;0.51557;0.53762;-1.00000;0.11972;0.27177
47;2540;635;60;2;0.05512;0.18582;1511.00000;0.26799;0.20546;0.05175;879.00000;3175.00000;0.45229;0.47889;0.36642;0.33891;1.00000;0.48829;0.50145;-1.00000;0.11147;0.27484
48;2540;635;60;2;0.04409;0.19632;1510.00000;0.28012;0.21321;0.05656;880.00000;3175.00000;0.47481;0.50144;0.39086;0.36263;1.00000;0.51104;0.53112;-1.00000;0.11205;0.29061
49;2540;635;60;2;0.04409;0.19526;1508.00000;0.27850;0.21164;0.05594;867.00000;3175.00000;0.47259;0.50061;0.38902;0.36067;1.00000;0.51036;0.52982;-1.00000;0.12397;0.27626
50;2540;635;60;2;0.03307;0.19588;1505.00000;0.27927;0.21131;0.05617;870.00000;3175.00000;0.47399;0.50182;0.38988;0.36155;1.00000;0.51156;0.53329;-1.00000;0.11248;0.28164
